model,accuracy,precision,churn_recall,predicted_churn_count,tn,fp,fn,tp
baseline,0.8312611012433393,0.0,0.0,0,936,0,190,0
logistic_regression,0.8907637655417406,0.7375886524822695,0.5473684210526316,141,899,37,86,104
decision_tree,0.9769094138543517,0.9183673469387755,0.9473684210526315,196,920,16,10,180
random_forest,0.977797513321492,0.9824561403508771,0.8842105263157894,171,933,3,22,168
